mysql> select left(substr(source,8),instr(substr(source,8),"/")) dom, count(*) as cnt from sources s, inv_so i where i.so_id=s.so_id group by dom order by cnt desc limit 200;
+---------------------------------+--------+
| dom                             | cnt    |
| www.muensterschezeitung.de/     |  32294 |
| www.ivz-online.de/              |  32170 |
| www.news.at/                    |  32129 |
| www.fnp.de/                     |  30578 |
| www.a-z.ch/                     |  30403 |
| www.vaterland.li/               |  30189 |
| www.algeria-watch.org/          |  29957 |
| www.cellesche-zeitung.de/       |  29793 |
| www.noen.at/                    |  29772 |
| www.bbv-net.de/                 |  28632 |
| www.borkenerzeitung.de/         |  28597 |
| www.kleinezeitung.at/           |  28588 |
| www.saarbruecker-zeitung.de/    |  27397 |
| cordis.europa.eu/               |  26604 |
| www.nordbayerischer-kurier.de/  |  26590 |
| www.bvz.at/                     |  26402 |
| www.rheinpfalz.de/              |  26073 |
| www.an-online.de/               |  25851 |
| www.suedostschweiz.ch/          |  25596 |
| www.frankenpost.de/             |  25224 |
| www.monde-diplomatique.de/      |  25115 |
| www.suedkurier.de/              |  24886 |
| www.stz-online.de/              |  24735 |
| www.hildesheimer-allgemeine.de/ |  24483 |
| www.maerkischeallgemeine.de/    |  24384 |
| www.eberswalder-blitz.de/       |  24291 |
| www.lz-online.de/               |  24252 |
| www.ktz.at/                     |  23957 |
| www.askonline.ch/               |  23390 |
| www.mv-online.de/               |  23349 |
| www.eifelzeitung.de/            |  23123 |
| www.istanbulpost.net/           |  23054 |
| www.dnn-online.de/              |  22744 |
| www.blizzaktuell.de/            |  22733 |
| www.newsclick.de/               |  22715 |
| www.tschechien-online.org/      |  22656 |
| www.elgger.ch/                  |  22213 |
| www.abendzeitung.de/            |  21991 |
| www.main-netz.de/               |  21803 |
| www.handelsblatt.com/           |  21233 |
| www.infowilplus.ch/             |  20558 |
| www.cash.ch/                    |  19446 |
| www.gemeindezeitung.de/         |  19444 |
| www.gelnhaeuser-tageblatt.de/   |  18605 |
+---------------------------------+--------+
200 rows in set (4 min 45.60 sec)
 
